Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ff_avg
01/01/2013,24,31.8,26.2,91,1.7,3.5,6,3
02/01/2013,25,31.4,27.9,79,0,1.2,4,3
03/01/2013,26,32.6,28.6,79,1.3,3.5,5,4
04/01/2013,25,30.2,26.3,86,34.4,0.4,9,5
05/01/2013,24,30.8,26.6,82,6.4,4.8,7,4
06/01/2013,23,29.8,26.5,84,0,0.4,8,5
07/01/2013,23,32.6,27.6,79,3.5,2.8,5,3
08/01/2013,24,29,26.4,86,7.4,0.5,8,5
09/01/2013,24,27,24.7,93,22.3,1,10,4
10/01/2013,23,32.6,26.6,81,20,0,10,5
11/01/2013,24,31.4,27.5,77,0,0,11,4
12/01/2013,25,31.6,26.6,82,98.1,1.7,7,3
13/01/2013,23,30.6,26.8,86,3,2.2,4,3
14/01/2013,25,30.2,27.3,85,55.7,2,8,4
15/01/2013,24,30,25.7,92,37.9,0,4,3
16/01/2013,23,28.8,26.3,90,81,0,2,2
17/01/2013,23,27.6,25.2,96,193.4,0,3,3
18/01/2013,23,28.4,26.2,90,1.4,0,2,2
19/01/2013,24,32.2,27.8,81,16.6,5.6,7,5
20/01/2013,24,30.4,27.5,82,3.4,0.5,4,2
21/01/2013,25,32,28.6,78,0,2.2,4,3
22/01/2013,26,31.2,26.8,86,0,0,3,2
23/01/2013,24,31.2,26.5,85,10.2,5.4,7,3
24/01/2013,25,30.2,27.3,84,2.3,0,6,3
25/01/2013,25,27.8,26,90,11.6,0,3,2
26/01/2013,24,31,27.2,84,0,4.5,4,3
27/01/2013,25,31.4,27.7,80,0,2.5,7,4
28/01/2013,25,30,27.2,82,0.8,0.2,4,3
29/01/2013,26,31.2,28,80,9.5,3.8,6,3
30/01/2013,24,30.4,27.1,84,0,3,3,2
31/01/2013,25,32.4,28.2,79,0,5,4,3
01/02/2013,25,33.6,28.7,75,0.1,5.7,4,2
02/02/2013,25,30.2,26.9,88,3.3,0.8,5,2
03/02/2013,25,33,27,76,0,8,5,3
04/02/2013,23,32.2,29.1,76,23,3,10,2
05/02/2013,23,33.4,27.9,80,0,7.5,9,3
06/02/2013,24,33,28.6,74,35.6,0.8,9,3
07/02/2013,24,32.8,27.9,82,0,4.4,3,2
08/02/2013,25,34,28.2,78,0,8,2,2
09/02/2013,26,34,28.8,78,0.1,6.2,7,3
10/02/2013,25,32.6,28,80,0.5,6,4,3
11/02/2013,26,31.8,28.3,79,0,0.8,4,3
12/02/2013,24,32,28.5,78,5.8,3.6,3,2
13/02/2013,25,32.8,27.5,82,1.8,7.7,4,3
14/02/2013,25,28.8,26.3,88,4.9,0,5,3
15/02/2013,25,32.8,27.9,77,0,7,4,3
16/02/2013,24,31.4,28.4,76,28.1,2,5,3
17/02/2013,24,30.4,25.9,87,1.6,0,5,3
18/02/2013,23,30.4,26.5,86,6,0.3,6,3
19/02/2013,24,30.4,26.6,80,0,0.4,6,3
20/02/2013,23,30.6,27.9,82,16.9,1.5,6,3
21/02/2013,24,31.8,27.6,80,3.4,5.5,4,2
22/02/2013,24,31.2,27.8,80,6.3,1.6,6,3
23/02/2013,25,30,27,84,6,1.3,6,3
