Wilayah Kereta Api;;;;;;;;;;;;;
Jumlah Penumpang Kereta Api (Ribu Orang);;;;;;;;;;;;;
Tahun;Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;November;Desember;Tahunan
2012;9779;9840;11285;11271;11872;12034;12391;11471;11556;11501;10650;10438;134088
2013;10089;10281;11240;11529;11767;11817;15407;14321;15113;15531;15487;15901;158483
2014;15176;14856;17471;16671;16781;17848;16585;17091;18253;19079;18605;20080;208496
2015;19244;17640;21290;21171;22177;22207;21171;22295;22021;22964;22355;22996;257531
2016;22238;21229;23206;23149;24401;23821;21574;23923;23570;24533;24104;24841;280589
2017;24185;21743;25775;25411;27385;24432;27016;27679;26158;28765;28246;29059;315854
2018;28075;25362;29223;28942;28995;24833;29086;28098;27618;29317;28049;29201;336799
2019;27768;25305;28366;28062;28369;25816;29714;27651;28293;29278;28563;28860;336045
2020;26733;25616;18548;5138;5077;8591;11116;11014;9678;10128;11622;11330;154591
2021;10149;9796;12041;12452;12230;11978;5102;5947;8693;11347;12792;14213;126740
2022;14484;10499;15735;15890;17075;18326;19467;19388;20587;21807;21589;23118;217965
2023;22717;20811;23856;21402;23716;23292;25211;24979;25082;26793;26171;26861;290891
