Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ff_avg
01-02-2024,25.00,31.60,27.80,83.00,0.00,2.20,7.00,1.00
02-02-2024,25.60,34.20,28.20,81.00,20.10,3.10,5.00,1.00
03-02-2024,25.00,31.60,28.10,79.00,20.30,3.20,4.00,2.00
04-02-2024,26.20,31.00,28.00,81.00,0.00,0.80,4.00,1.00
05-02-2024,26.00,32.00,27.90,84.00,14.00,2.40,10.00,1.00
06-02-2024,26.20,31.00,26.40,86.00,6.80,3.40,9.00,1.00
07-02-2024,24.60,33.40,28.90,75.00,14.80,3.50,5.00,1.00
08-02-2024,25.40,32.60,29.30,76.00,0.00,5.00,11.00,2.00
09-02-2024,26.00,31.00,29.00,79.00,0.00,8.50,6.00,2.00
10-02-2024,25.20,32.00,28.60,79.00,102.00,4.20,6.00,1.00
11-02-2024,26.60,32.00,28.80,78.00,0.00,5.20,7.00,2.00
12-02-2024,26.20,32.60,28.60,81.00,5.80,7.60,10.00,2.00
13-02-2024,26.00,31.20,28.60,80.00,3.00,5.00,8.00,2.00
14-02-2024,24.40,30.00,27.60,85.00,140.90,6.80,3.00,0.00
15-02-2024,26.47,31.40,28.50,85.00,3.00,2.10,5.00,1.00
16-02-2024,26.40,30.00,28.10,85.00,7.50,0.80,8.00,2.00
17-02-2024,25.00,31.00,28.30,82.00,18.40,0.20,4.00,1.00
18-02-2024,26.00,30.40,28.60,80.00,0.00,3.00,7.00,2.00
19-02-2024,26.60,32.40,29.50,78.00,0.00,2.70,9.00,2.00
20-02-2024,26.80,33.00,29.80,78.00,0.00,5.20,9.00,2.00
21-02-2024,26.00,33.00,29.50,77.00,0.20,7.20,5.00,1.00
22-02-2024,27.40,34.00,30.60,74.00,0.00,0.30,7.00,3.00
23-02-2024,27.20,34.00,30.30,72.00,3.20,5.80,4.00,2.00
24-02-2024,27.40,31.60,28.90,80.00,0.00,2.40,9.00,3.00
25-02-2024,26.00,32.80,28.40,81.00,5.70,3.80,9.00,2.00
26-02-2024,25.60,31.00,28.70,79.00,20.80,1.70,4.00,0.00
27-02-2024,26.20,32.20,29.10,78.00,0.00,2.50,6.00,1.00
28-02-2024,24.80,30.80,27.60,88.00,38.50,5.20,4.00,1.00
29-02-2024,25.00,27.00,26.10,92.00,75.50,0.30,2.00,0.00
01-03-2024,25.20,32.40,29.10,77.00,10.00,0.00,5.00,2.00
